season,episode_title,episode_url,burger_of_the_day,burger_name,burger_description,tvmaze_episode_id,tvmaze_episode_name,tvmaze_episode_number,tvmaze_episode_url,tvmaze_match_type,tvmaze_match_score
1,Burger War,https://bobs-burgers.fandom.com/wiki/Burger_War,Hit Me With Your Best Shallot Burger,Hit Me With Your Best Shallot Burger,,7424,Burger War,10,https://www.tvmaze.com/episodes/7424/bobs-burgers-1x10-burger-war,exact,1.0
1,Burger War,https://bobs-burgers.fandom.com/wiki/Burger_War,The Sound & The Curry Burger,The Sound & The Curry Burger,,7424,Burger War,10,https://www.tvmaze.com/episodes/7424/bobs-burgers-1x10-burger-war,exact,1.0
1,Weekend at Mort's,https://bobs-burgers.fandom.com/wiki/Weekend_at_Mort%27s_(episode),I've Created a Muenster Burger,I've Created a Muenster Burger,,7425,Weekend at Mort's,11,https://www.tvmaze.com/episodes/7425/bobs-burgers-1x11-weekend-at-morts,exact,1.0
1,Lobsterfest,https://bobs-burgers.fandom.com/wiki/Lobsterfest,Something's NOT Fishy Burger (100% Beef),Something's NOT Fishy Burger,Something's NOT Fishy Burger (100% Beef),7426,Lobsterfest,12,https://www.tvmaze.com/episodes/7426/bobs-burgers-1x12-lobsterfest,exact,1.0
1,Lobsterfest,https://bobs-burgers.fandom.com/wiki/Lobsterfest,Neither Fish Nor Fowl Burger (100% Beef),Neither Fish Nor Fowl Burger,100% Beef,7426,Lobsterfest,12,https://www.tvmaze.com/episodes/7426/bobs-burgers-1x12-lobsterfest,exact,1.0
1,Lobsterfest,https://bobs-burgers.fandom.com/wiki/Lobsterfest,"One Fish, Two Fish, Red Fish, Hamburger","One Fish, Two Fish, Red Fish, Hamburger",,7426,Lobsterfest,12,https://www.tvmaze.com/episodes/7426/bobs-burgers-1x12-lobsterfest,exact,1.0
1,Torpedo,https://bobs-burgers.fandom.com/wiki/Torpedo,TAKE ME OUT TO THE BURGER (Comes with Peanuts and Crackerjacks),TAKE ME OUT TO THE BURGER,Comes with Peanuts and Crackerjacks,7427,Torpedo,13,https://www.tvmaze.com/episodes/7427/bobs-burgers-1x13-torpedo,exact,1.0
2,The Belchies,https://bobs-burgers.fandom.com/wiki/The_Belchies,I AM MAD ABOUT SAFFRON (Made with no saffron),I AM MAD ABOUT SAFFRON,Made with no saffron,7428,The Belchies,1,https://www.tvmaze.com/episodes/7428/bobs-burgers-2x01-the-belchies,exact,1.0
2,Bob Day Afternoon,https://bobs-burgers.fandom.com/wiki/Bob_Day_Afternoon,Chard to a Crisp Burger,Chard to a Crisp Burger,,7429,Bob Day Afternoon,2,https://www.tvmaze.com/episodes/7429/bobs-burgers-2x02-bob-day-afternoon,exact,1.0
2,Synchronized Swimming,https://bobs-burgers.fandom.com/wiki/Synchronized_Swimming,BURGER A LA MODE (Comes with Ice Cream (Not on top)),BURGER A LA MODE,Comes with Ice Cream (Not on top),7430,Synchronized Swimming,3,https://www.tvmaze.com/episodes/7430/bobs-burgers-2x03-synchronized-swimming,exact,1.0
